supplier_id,supplier_name,report_month,avg_lead_time_days,on_time_delivery_rate,defect_rate,primary_shipping_code,region,shipments_completed,expedite_rate,avg_freight_cost,risk_score
SUP-004,Patriot Supply Co,2025-01-01,12.5,0.91,0.046,SC-GROUND,CONUS,92,0.102,732.27,18.1
SUP-004,Patriot Supply Co,2025-02-01,10.5,0.907,0.03,SC-GROUND,CONUS,111,0.152,788.0,16.3
SUP-004,Patriot Supply Co,2025-03-01,17.3,0.932,0.017,SC-GROUND,CONUS,67,0.093,586.21,13.0
SUP-004,Patriot Supply Co,2025-04-01,12.6,0.886,0.024,SC-GROUND,CONUS,61,0.176,767.84,16.8
SUP-004,Patriot Supply Co,2025-05-01,14.0,0.914,0.011,SC-GROUND,CONUS,113,0.107,744.63,10.4
SUP-004,Patriot Supply Co,2025-06-01,16.4,0.884,0.018,SC-GROUND,CONUS,88,0.125,825.97,15.8
SUP-004,Patriot Supply Co,2025-07-01,15.8,0.943,0.022,SC-GROUND,CONUS,104,0.05,754.21,10.4
SUP-004,Patriot Supply Co,2025-08-01,13.7,0.844,0.029,SC-GROUND,CONUS,99,0.078,781.52,17.3
SUP-004,Patriot Supply Co,2025-09-01,16.4,0.925,0.011,SC-GROUND,CONUS,103,0.137,668.72,12.3
SUP-004,Patriot Supply Co,2025-10-01,13.1,0.863,0.004,SC-GROUND,CONUS,72,0.151,599.31,12.9
SUP-004,Patriot Supply Co,2025-11-01,14.6,0.909,0.033,SC-GROUND,CONUS,43,0.07,787.93,14.4
SUP-004,Patriot Supply Co,2025-12-01,16.3,0.84,0.022,SC-GROUND,CONUS,25,0.134,589.84,19.2
SUP-005,Liberty Industrial,2025-01-01,9.1,0.99,0.032,SC-AIR,CONUS,31,0.122,1919.8,11.2
SUP-005,Liberty Industrial,2025-02-01,8.8,0.931,0.016,SC-AIR,CONUS,67,0.066,2261.56,9.3
SUP-005,Liberty Industrial,2025-03-01,10.8,0.916,0.011,SC-AIR,CONUS,66,0.088,2265.52,9.7
SUP-005,Liberty Industrial,2025-04-01,15.3,0.942,0.009,SC-AIR,CONUS,19,0.142,2179.25,9.8
SUP-005,Liberty Industrial,2025-05-01,11.2,0.99,0.021,SC-AIR,CONUS,46,0.167,1530.52,10.2
SUP-005,Liberty Industrial,2025-06-01,9.2,0.925,0.014,SC-AIR,CONUS,95,0.059,1392.69,9.0
SUP-005,Liberty Industrial,2025-07-01,9.8,0.944,0.001,SC-AIR,CONUS,27,0.058,2093.32,5.0
SUP-005,Liberty Industrial,2025-08-01,11.1,0.987,0.006,SC-AIR,CONUS,89,0.07,2038.98,4.1
SUP-005,Liberty Industrial,2025-09-01,12.1,0.99,0.025,SC-AIR,CONUS,37,0.036,1812.88,7.1
SUP-005,Liberty Industrial,2025-10-01,12.4,0.945,0.016,SC-AIR,CONUS,102,0.075,1350.99,8.8
SUP-005,Liberty Industrial,2025-11-01,10.6,0.929,0.028,SC-AIR,CONUS,85,0.063,2024.65,12.0
SUP-005,Liberty Industrial,2025-12-01,10.3,0.969,0.004,SC-AIR,CONUS,86,0.091,1789.15,5.3
SUP-006,Eagle Federal Logistics,2025-01-01,25.6,0.862,0.056,SC-SEA,OCONUS,55,0.025,948.13,33.4
SUP-006,Eagle Federal Logistics,2025-02-01,28.0,0.789,0.08,SC-SEA,OCONUS,101,0.011,1092.19,45.1
SUP-006,Eagle Federal Logistics,2025-03-01,26.9,0.796,0.072,SC-SEA,OCONUS,97,0.027,945.79,42.1
SUP-006,Eagle Federal Logistics,2025-04-01,32.0,0.833,0.048,SC-SEA,OCONUS,32,0.037,1339.52,41.3
SUP-006,Eagle Federal Logistics,2025-05-01,26.4,0.815,0.077,SC-SEA,OCONUS,65,0.046,905.46,42.2
SUP-006,Eagle Federal Logistics,2025-06-01,25.7,0.818,0.057,SC-SEA,OCONUS,59,0.046,1375.35,36.8
SUP-006,Eagle Federal Logistics,2025-07-01,29.1,0.815,0.073,SC-SEA,OCONUS,18,0.054,1033.25,44.8
SUP-006,Eagle Federal Logistics,2025-08-01,28.7,0.854,0.064,SC-SEA,OCONUS,31,0.024,1393.1,39.3
SUP-006,Eagle Federal Logistics,2025-09-01,30.0,0.775,0.06,SC-SEA,OCONUS,27,0.062,888.65,45.4
SUP-006,Eagle Federal Logistics,2025-10-01,29.3,0.843,0.059,SC-SEA,OCONUS,24,0.022,1173.82,39.4
SUP-006,Eagle Federal Logistics,2025-11-01,28.0,0.83,0.071,SC-SEA,OCONUS,70,0.037,707.85,41.7
SUP-006,Eagle Federal Logistics,2025-12-01,26.5,0.801,0.076,SC-SEA,OCONUS,86,0.01,1131.37,41.8
SUP-007,Blue Ridge Components,2025-01-01,19.9,0.871,0.036,SC-GROUND,CONUS,27,0.084,614.3,23.4
SUP-007,Blue Ridge Components,2025-02-01,18.3,0.88,0.031,SC-GROUND,CONUS,54,0.145,502.99,21.7
SUP-007,Blue Ridge Components,2025-03-01,18.1,0.89,0.03,SC-GROUND,CONUS,86,0.063,537.7,18.3
SUP-007,Blue Ridge Components,2025-04-01,19.9,0.835,0.041,SC-GROUND,CONUS,99,0.052,570.67,25.5
SUP-007,Blue Ridge Components,2025-05-01,18.0,0.83,0.041,SC-GROUND,CONUS,65,0.174,468.36,27.2
SUP-007,Blue Ridge Components,2025-06-01,24.1,0.884,0.038,SC-GROUND,CONUS,91,0.119,676.52,29.2
SUP-007,Blue Ridge Components,2025-07-01,15.3,0.866,0.03,SC-GROUND,CONUS,110,0.082,832.98,16.8
SUP-007,Blue Ridge Components,2025-08-01,17.5,0.899,0.03,SC-GROUND,CONUS,46,0.123,644.54,18.8
SUP-007,Blue Ridge Components,2025-09-01,20.0,0.892,0.03,SC-GROUND,CONUS,24,0.158,516.85,23.3
SUP-007,Blue Ridge Components,2025-10-01,25.9,0.847,0.024,SC-GROUND,CONUS,55,0.131,685.61,30.7
SUP-007,Blue Ridge Components,2025-11-01,20.0,0.897,0.014,SC-GROUND,CONUS,63,0.049,510.37,16.2
SUP-007,Blue Ridge Components,2025-12-01,19.5,0.87,0.02,SC-GROUND,CONUS,58,0.103,478.64,20.0
SUP-008,Atlas Defense Supply,2025-01-01,11.6,0.962,0.018,SC-AIR,CONUS,90,0.085,1625.32,8.6
SUP-008,Atlas Defense Supply,2025-02-01,12.1,0.954,0.028,SC-AIR,CONUS,46,0.137,1807.39,12.8
SUP-008,Atlas Defense Supply,2025-03-01,12.0,0.914,0.01,SC-AIR,CONUS,60,0.162,2177.65,11.8
SUP-008,Atlas Defense Supply,2025-04-01,11.2,0.935,0.016,SC-AIR,CONUS,40,0.127,2185.73,10.9
SUP-008,Atlas Defense Supply,2025-05-01,14.4,0.94,0.03,SC-AIR,CONUS,43,0.069,1194.65,12.0
SUP-008,Atlas Defense Supply,2025-06-01,13.6,0.923,0.022,SC-AIR,CONUS,82,0.125,1828.67,12.8
SUP-008,Atlas Defense Supply,2025-07-01,14.0,0.9,0.021,SC-AIR,CONUS,22,0.113,1577.52,13.5
SUP-008,Atlas Defense Supply,2025-08-01,6.0,0.905,0.003,SC-AIR,CONUS,64,0.089,1897.62,8.6
SUP-008,Atlas Defense Supply,2025-09-01,15.1,0.909,0.023,SC-AIR,CONUS,82,0.107,1664.2,13.4
SUP-008,Atlas Defense Supply,2025-10-01,11.1,0.948,0.01,SC-AIR,CONUS,96,0.133,1263.42,9.1
SUP-008,Atlas Defense Supply,2025-11-01,13.0,0.916,0.027,SC-AIR,CONUS,90,0.129,2152.53,14.4
SUP-008,Atlas Defense Supply,2025-12-01,16.2,0.922,0.011,SC-AIR,CONUS,46,0.144,1831.6,12.5
SUP-009,Keystone Tactical Goods,2025-01-01,24.2,0.879,0.048,SC-SEA,OCONUS,84,0.074,1392.78,30.5
SUP-009,Keystone Tactical Goods,2025-02-01,22.6,0.882,0.044,SC-SEA,OCONUS,101,0.033,1117.17,26.3
SUP-009,Keystone Tactical Goods,2025-03-01,23.3,0.831,0.056,SC-SEA,OCONUS,51,0.051,770.3,33.1
SUP-009,Keystone Tactical Goods,2025-04-01,22.2,0.85,0.037,SC-SEA,OCONUS,27,0.046,1282.2,26.4
SUP-009,Keystone Tactical Goods,2025-05-01,20.9,0.898,0.038,SC-SEA,OCONUS,62,0.044,1081.03,22.4
SUP-009,Keystone Tactical Goods,2025-06-01,21.3,0.864,0.042,SC-SEA,OCONUS,39,0.026,1098.75,25.1
SUP-009,Keystone Tactical Goods,2025-07-01,22.4,0.858,0.05,SC-SEA,OCONUS,95,0.06,1193.84,29.5
SUP-009,Keystone Tactical Goods,2025-08-01,25.1,0.872,0.053,SC-SEA,OCONUS,79,0.057,807.02,32.5
SUP-009,Keystone Tactical Goods,2025-09-01,21.3,0.864,0.041,SC-SEA,OCONUS,49,0.013,937.3,24.5
SUP-009,Keystone Tactical Goods,2025-10-01,22.9,0.853,0.045,SC-SEA,OCONUS,91,0.02,1059.3,28.1
SUP-009,Keystone Tactical Goods,2025-11-01,26.3,0.909,0.037,SC-SEA,OCONUS,90,0.055,1078.93,28.4
SUP-009,Keystone Tactical Goods,2025-12-01,26.3,0.832,0.058,SC-SEA,OCONUS,45,0.041,667.09,36.8
SUP-010,Mock Vendor A,2025-01-01,21.0,0.898,0.038,SC-GROUND,CONUS,94,0.051,843.51,22.7
SUP-010,Mock Vendor A,2025-02-01,14.0,0.879,0.02,SC-GROUND,CONUS,39,0.139,552.19,15.2
SUP-010,Mock Vendor A,2025-03-01,15.8,0.923,0.023,SC-GROUND,CONUS,67,0.05,604.43,11.8
SUP-010,Mock Vendor A,2025-04-01,19.4,0.903,0.042,SC-GROUND,CONUS,37,0.121,554.17,23.5
SUP-010,Mock Vendor A,2025-05-01,18.9,0.948,0.012,SC-GROUND,CONUS,86,0.105,509.23,13.3
SUP-010,Mock Vendor A,2025-06-01,18.7,0.919,0.038,SC-GROUND,CONUS,18,0.165,766.23,22.2
SUP-010,Mock Vendor A,2025-07-01,17.5,0.864,0.019,SC-GROUND,CONUS,23,0.135,634.46,18.7
SUP-010,Mock Vendor A,2025-08-01,12.7,0.925,0.012,SC-GROUND,CONUS,62,0.118,672.44,10.3
SUP-010,Mock Vendor A,2025-09-01,16.8,0.858,0.028,SC-GROUND,CONUS,35,0.068,599.89,18.2
SUP-010,Mock Vendor A,2025-10-01,17.4,0.845,0.041,SC-GROUND,CONUS,87,0.091,729.42,23.2
SUP-010,Mock Vendor A,2025-11-01,18.2,0.936,0.032,SC-GROUND,CONUS,33,0.108,501.0,17.6
SUP-010,Mock Vendor A,2025-12-01,16.0,0.912,0.032,SC-GROUND,CONUS,31,0.053,536.94,14.7
